All Students,Male,Female,General Education Students,Students with Disabilities,American Indian or Alaska Native,Asian or Native Hawaiian/Other Pacific Islander,Black or African American,Hispanic or Latino,White,Multiracial,Economically Disadvantaged,Not Economically Disadvantaged,English Language Learner,NonEnglish Language Learner,Not in Foster Care,Homeless,Not Homeless,Migrant,Not Migrant,Parent Not in Armed Forces
94%,90%,100%,96%,80%,,,63%,,95%,,95%,93%,,94%,94%,86%,94%,,94%,94%
100%,100%,100%,100%,100%,,,94%,,,,100%,100%,,100%,100%,,100%,,100%,100%
78%,77%,79%,83%,54%,,86%,,,80%,,76%,81%,,79%,,,78%,,,78%
97%,95%,98%,97%,89%,,,,,96%,,94%,98%,,,97%,47%,,,97%,97%
88%,80%,95%,94%,63%,,,,,,100%,89%,87%,,88%,88%,,,,88%,88%
91%,88%,93%,,,,,97%,,,,95%,85%,,91%,91%,,,,91%,91%
81%,73%,88%,90%,50%,,,,,80%,,79%,82%,,81%,81%,,,,,81%
75%,71%,80%,79%,52%,,97%,,,78%,,61%,91%,,75%,75%,,,,75%,75%
94%,91%,96%,96%,70%,,100%,93%,,94%,,86%,96%,78%,,,45%,,,94%,94%
89%,85%,93%,97%,30%,,,94%,,89%,,88%,90%,68%,89%,89%,,89%,,89%,89%
85%,77%,94%,88%,75%,,,94%,,,,100%,76%,67%,85%,,,85%,,85%,85%
98%,95%,100%,100%,90%,,98%,,86%,,,95%,100%,,98%,98%,,98%,,98%,98%
90%,84%,95%,92%,78%,80%,,79%,,89%,,78%,98%,100%,90%,90%,,90%,,90%,90%
89%,87%,93%,91%,82%,,,85%,,,,86%,93%,,89%,89%,,,,89%,89%
88%,85%,90%,91%,72%,,100%,76%,,88%,100%,84%,90%,50%,,88%,,90%,,88%,88%
94%,92%,95%,96%,88%,,97%,90%,89%,94%,,100%,89%,,94%,94%,,94%,,94%,94%
95%,94%,96%,96%,88%,,93%,,67%,95%,,94%,96%,,95%,95%,,95%,,95%,95%
86%,80%,91%,91%,65%,,,100%,,87%,,82%,93%,57%,86%,86%,,86%,,86%,86%
87%,87%,88%,90%,71%,,87%,,,86%,68%,81%,97%,89%,87%,87%,,,,,87%
94%,92%,96%,98%,77%,,94%,,,94%,,89%,98%,,,,,,,,94%
83%,82%,86%,90%,60%,,100%,,,83%,83%,70%,93%,60%,,83%,80%,,,83%,83%
94%,100%,88%,100%,60%,,,,,94%,,71%,100%,,94%,94%,,94%,,94%,94%
86%,80%,92%,95%,56%,,,,,86%,,79%,91%,,86%,86%,,86%,,86%,86%
91%,88%,93%,93%,76%,,,,,91%,,80%,98%,57%,91%,91%,,91%,,91%,91%
90%,89%,91%,94%,69%,,100%,79%,,91%,86%,77%,98%,66%,90%,,,,,90%,90%
91%,93%,88%,96%,63%,,,100%,88%,92%,,82%,95%,38%,91%,91%,,91%,,91%,
,,82%,87%,,,,100%,87%,78%,,,88%,78%,,,,,,,
77%,73%,90%,94%,46%,,100%,,80%,91%,,58%,90%,38%,,77%,,,,77%,
93%,95%,94%,96%,83%,,,83%,,94%,,95%,96%,,93%,93%,,93%,,93%,93%
94%,94%,88%,90%,88%,,,94%,91%,80%,67%,91%,89%,52%,94%,94%,,94%,,94%,94%
84%,77%,97%,99%,63%,,,,78%,99%,,81%,98%,75%,85%,84%,,84%,,84%,84%
98%,98%,92%,97%,91%,,,,71%,,100%,97%,96%,91%,,98%,,98%,,,98%
92%,92%,90%,94%,60%,,100%,,94%,90%,,83%,90%,,92%,92%,,92%,,92%,92%
90%,90%,88%,89%,71%,,95%,,100%,83%,,90%,86%,57%,90%,90%,,90%,,90%,90%
82%,76%,95%,94%,47%,,100%,,89%,,,76%,95%,,,82%,,,,82%,82%
89%,83%,92%,93%,71%,,,60%,,89%,,81%,94%,46%,89%,89%,,89%,,89%,89%
89%,86%,100%,98%,73%,,,,89%,,,82%,100%,,,,,,,89%,
98%,96%,,,100%,67%,,,,,100%,96%,,,98%,,,98%,,98%,98%
100%,,86%,,,81%,,,,92%,86%,,,,100%,100%,,100%,,100%,100%
92%,100%,92%,,,78%,,86%,92%,,,,100%,,92%,92%,,92%,,92%,92%
96%,100%,100%,100%,,89%,,,90%,,,93%,97%,,96%,96%,,96%,,96%,96%
94%,87%,100%,,75%,89%,,,100%,,,89%,100%,50%,94%,94%,,94%,,94%,94%
100%,100%,94%,,,,,80%,,,,100%,100%,58%,100%,100%,,100%,,100%,100%
97%,100%,100%,89%,,67%,,,69%,,,92%,80%,55%,97%,97%,,97%,,97%,97%
88%,79%,100%,,80%,89%,,,100%,,,93%,100%,,88%,88%,,88%,,88%,88%
100%,100%,95%,96%,,,,,89%,95%,60%,100%,98%,100%,100%,100%,,100%,,100%,100%
94%,92%,93%,,87%,65%,,100%,100%,,,88%,89%,56%,,94%,80%,94%,,94%,94%
89%,80%,100%,,,71%,,75%,,,,90%,94%,,89%,89%,,89%,,89%,89%
97%,94%,91%,91%,,63%,,,75%,,,100%,82%,,97%,,,,,97%,97%
87%,84%,90%,95%,71%,90%,,,92%,88%,,96%,94%,40%,87%,87%,,87%,,87%,87%
89%,89%,91%,90%,63%,83%,,,,86%,,85%,89%,,90%,89%,,,,89%,
85%,82%,91%,93%,63%,91%,,,,89%,,83%,91%,64%,87%,85%,,85%,,85%,85%
88%,84%,93%,91%,61%,,,,,93%,,84%,92%,86%,88%,89%,,89%,,88%,88%
88%,83%,95%,98%,67%,77%,,,,96%,,86%,96%,64%,91%,88%,,88%,,88%,88%
95%,95%,91%,97%,73%,79%,,,93%,95%,,91%,94%,,,95%,,,,95%,95%
91%,91%,71%,70%,58%,77%,,,80%,56%,,87%,56%,,,91%,,91%,,91%,91%
65%,59%,94%,97%,39%,89%,,89%,93%,94%,,68%,95%,100%,68%,65%,,67%,,,65%
94%,94%,94%,95%,73%,81%,,,,95%,,88%,92%,,,94%,,94%,,94%,
91%,88%,96%,93%,72%,83%,,,71%,92%,100%,88%,94%,50%,91%,91%,,91%,,91%,91%
92%,89%,95%,95%,75%,,,,89%,95%,,87%,94%,,,92%,80%,,,92%,92%
93%,92%,98%,97%,82%,,,,,96%,90%,89%,97%,53%,93%,93%,50%,,,93%,93%
95%,93%,100%,97%,85%,88%,,74%,,95%,,90%,94%,,96%,,,96%,,95%,95%
96%,90%,93%,98%,89%,76%,,,100%,95%,,100%,97%,45%,96%,96%,,96%,,96%,96%
