All Students,Male,Female,General Education Students,Students with Disabilities,American Indian or Alaska Native,Asian or Native Hawaiian/Other Pacific Islander,Black or African American,Hispanic or Latino,White,Multiracial,Economically Disadvantaged,Not Economically Disadvantaged,English Language Learner,NonEnglish Language Learner,Not in Foster Care,Homeless,Not Homeless,Migrant,Not Migrant,Parent Not in Armed Forces
79%,97%,97%,99%,84%,,,,78%,98%,87%,96%,98%,,89%,,,80%,,79%,79%
97%,93%,97%,97%,77%,,,,63%,96%,100%,92%,95%,,97%,97%,,,,97%,97%
95%,97%,97%,99%,86%,,94%,,73%,97%,,96%,97%,80%,96%,,,,,95%,
97%,73%,82%,78%,77%,,100%,,70%,96%,,85%,63%,,,97%,,97%,,97%,97%
78%,93%,93%,94%,81%,,,,83%,100%,,94%,91%,,90%,78%,,77%,,78%,
93%,94%,98%,99%,77%,,94%,,79%,97%,,92%,98%,51%,95%,,,93%,,93%,93%
96%,95%,95%,96%,92%,,,96%,77%,96%,66%,89%,97%,75%,96%,,,,,96%,96%
95%,91%,97%,96%,85%,,100%,100%,88%,96%,100%,95%,92%,,,,86%,,,95%,95%
94%,93%,98%,98%,76%,,,96%,44%,78%,,87%,98%,44%,96%,94%,,,,94%,94%
95%,77%,86%,82%,75%,,100%,90%,82%,99%,85%,84%,76%,,,95%,100%,,,95%,95%
81%,98%,99%,100%,89%,,,94%,84%,100%,,95%,99%,73%,90%,81%,,,,81%,81%
99%,98%,98%,99%,94%,,100%,75%,79%,99%,,97%,98%,,,99%,,99%,,99%,99%
98%,97%,98%,99%,85%,,,87%,93%,100%,,93%,99%,42%,,98%,70%,,,98%,98%
98%,99%,99%,100%,98%,,,95%,82%,98%,,97%,100%,46%,,98%,,,,98%,98%
99%,95%,100%,100%,86%,,,96%,85%,96%,,100%,98%,88%,,99%,,,,99%,99%
98%,99%,94%,99%,83%,,,98%,73%,94%,,95%,97%,,98%,98%,100%,,,98%,98%
97%,87%,99%,92%,95%,,,80%,89%,93%,,89%,95%,,,,,,,97%,97%
92%,,97%,,82%,,,94%,81%,99%,,95%,,43%,97%,,,,,92%,92%
,94%,96%,98%,79%,,,,100%,98%,,93%,96%,44%,,,,,,,
96%,94%,98%,97%,89%,,,100%,68%,99%,,93%,97%,,97%,96%,49%,96%,,96%,
95%,97%,99%,99%,91%,,,,,,,98%,99%,42%,98%,95%,,96%,,95%,95%
98%,97%,93%,99%,70%,,,96%,90%,99%,100%,85%,98%,67%,,98%,,,,98%,98%
98%,77%,100%,86%,93%,,100%,,59%,100%,83%,100%,83%,,98%,98%,,,,98%,98%
85%,99%,98%,100%,89%,,100%,,75%,98%,63%,89%,99%,,97%,85%,,85%,,85%,85%
99%,99%,98%,99%,79%,,,,,99%,,93%,100%,,,99%,38%,99%,,99%,99%
99%,91%,99%,96%,95%,,,,,98%,,92%,95%,,,99%,,99%,,99%,99%
95%,99%,98%,100%,93%,,86%,,,97%,,90%,100%,,97%,95%,100%,95%,,95%,95%
99%,94%,99%,97%,81%,,100%,,,97%,,94%,98%,,,99%,83%,99%,,99%,99%
96%,97%,94%,100%,80%,,,,,100%,89%,90%,99%,53%,98%,96%,71%,,,96%,96%
98%,95%,100%,98%,100%,,,,,99%,,100%,97%,,98%,98%,57%,98%,,98%,98%
95%,100%,99%,100%,94%,,,,86%,99%,,96%,100%,,97%,95%,,95%,,95%,95%
100%,99%,99%,100%,96%,,100%,,,100%,,98%,99%,,,100%,100%,100%,,100%,100%
99%,100%,99%,100%,100%,,100%,92%,,95%,,97%,100%,,99%,99%,,99%,,99%,99%
99%,100%,97%,99%,84%,,100%,,52%,98%,,90%,100%,,,99%,,99%,,99%,99%
99%,95%,97%,99%,80%,,95%,,,98%,,89%,97%,,99%,99%,60%,99%,,99%,99%
96%,94%,99%,97%,97%,,96%,,,97%,,97%,98%,77%,,96%,100%,96%,,96%,96%
96%,99%,99%,99%,81%,,100%,89%,84%,95%,,91%,99%,,98%,96%,69%,,,96%,96%
99%,89%,95%,95%,81%,,,100%,,95%,,86%,95%,,,99%,75%,99%,,99%,99%
94%,96%,98%,98%,77%,,97%,,,99%,,96%,97%,,97%,94%,86%,,,94%,94%
96%,96%,99%,99%,91%,,89%,,,99%,,91%,97%,,96%,,,96%,,96%,96%
97%,94%,99%,97%,94%,,,,92%,97%,,96%,99%,,,97%,,,,97%,97%
96%,99%,83%,100%,68%,,,,82%,92%,100%,76%,99%,,98%,,,96%,,96%,96%
99%,71%,89%,79%,74%,,,94%,80%,95%,,85%,81%,,,99%,58%,,,99%,
77%,82%,91%,88%,65%,,,90%,88%,90%,,83%,88%,17%,86%,77%,,78%,,77%,77%
86%,81%,92%,91%,63%,,100%,,,91%,,88%,92%,34%,89%,86%,,87%,,86%,86%
87%,83%,87%,94%,56%,,96%,,100%,68%,,80%,84%,,88%,87%,,88%,,87%,
88%,77%,90%,90%,56%,,,85%,,66%,,83%,87%,,89%,88%,,88%,,88%,88%
82%,74%,83%,88%,64%,,100%,97%,100%,72%,100%,79%,74%,,84%,82%,63%,83%,,82%,82%
82%,75%,78%,84%,57%,,,,100%,81%,,75%,81%,60%,87%,,,82%,,82%,82%
79%,72%,87%,81%,56%,,,95%,,95%,,80%,75%,,82%,79%,,81%,,79%,
75%,73%,88%,87%,66%,,,,,87%,,84%,78%,,78%,75%,,76%,,75%,75%
80%,82%,87%,89%,55%,,100%,92%,84%,65%,,81%,89%,,83%,80%,73%,80%,,80%,80%
85%,78%,79%,90%,60%,,,,,96%,,76%,86%,86%,90%,85%,67%,87%,,85%,85%
82%,70%,95%,79%,68%,,,95%,75%,83%,,92%,61%,88%,85%,82%,100%,82%,,82%,
74%,92%,90%,95%,71%,,,88%,,85%,90%,87%,94%,53%,77%,74%,,76%,,74%,74%
93%,85%,88%,92%,65%,,,,85%,50%,,81%,89%,,94%,93%,,94%,,93%,93%
87%,77%,70%,87%,56%,,94%,,,74%,,68%,86%,,90%,,89%,89%,,87%,87%
82%,65%,89%,72%,63%,,,,78%,71%,,83%,65%,,85%,82%,100%,84%,,82%,
67%,78%,85%,88%,62%,,100%,,,68%,,80%,86%,60%,69%,,,68%,,67%,67%
84%,75%,87%,85%,66%,,87%,,,89%,,83%,79%,45%,85%,84%,77%,85%,,84%,84%
79%,81%,91%,89%,70%,,,,78%,87%,,86%,85%,,81%,80%,92%,79%,,79%,79%
83%,80%,90%,88%,67%,,,,76%,92%,100%,85%,79%,46%,85%,84%,30%,85%,,83%,83%
85%,80%,96%,89%,75%,,,,91%,33%,80%,93%,86%,,91%,,,86%,,85%,85%
85%,89%,60%,96%,45%,,,,87%,79%,,62%,91%,71%,89%,85%,,86%,,85%,85%
93%,68%,88%,74%,61%,,,93%,97%,88%,,81%,79%,,94%,93%,75%,93%,,93%,93%
65%,72%,90%,87%,66%,,100%,,82%,83%,,86%,74%,60%,67%,66%,,67%,,65%,65%
80%,82%,89%,89%,68%,,,,,95%,,85%,85%,,82%,,60%,79%,,80%,80%
85%,79%,97%,87%,83%,,,100%,79%,83%,,95%,83%,65%,89%,85%,88%,86%,,85%,85%
84%,92%,88%,96%,66%,,,,85%,88%,,83%,92%,89%,89%,,79%,85%,,84%,84%
94%,77%,92%,85%,68%,,,,92%,63%,,88%,77%,,96%,,47%,95%,,94%,
82%,84%,88%,91%,50%,,,100%,86%,93%,,84%,87%,,86%,82%,92%,83%,,82%,
88%,78%,94%,92%,69%,,,,93%,94%,,89%,78%,,91%,88%,83%,88%,,88%,88%
82%,85%,91%,93%,72%,,100%,,78%,93%,88%,84%,91%,,85%,83%,,83%,,82%,82%
89%,86%,97%,93%,76%,,,91%,85%,90%,,82%,94%,,93%,90%,,90%,,89%,89%
88%,90%,91%,96%,75%,,92%,85%,,95%,,86%,96%,,90%,89%,,89%,,88%,88%
93%,86%,93%,92%,83%,,,80%,90%,93%,,90%,91%,,93%,93%,,93%,,93%,93%
89%,95%,94%,96%,76%,,100%,89%,90%,73%,,88%,97%,,,89%,,88%,,,89%
94%,90%,72%,95%,50%,,100%,77%,,90%,,70%,95%,,94%,,80%,,,94%,94%
92%,64%,92%,73%,73%,,100%,,,93%,,86%,66%,,,,,92%,,92%,92%
68%,87%,95%,94%,74%,,,,,92%,100%,88%,91%,,69%,68%,,69%,,68%,
89%,93%,96%,97%,75%,,100%,,67%,93%,,93%,95%,,89%,89%,70%,89%,,89%,89%
94%,87%,94%,95%,71%,,,,,90%,,94%,91%,,94%,94%,89%,94%,,94%,94%
92%,90%,93%,94%,78%,,,,,,,79%,90%,,,92%,,92%,,,92%
92%,89%,100%,92%,78%,,93%,100%,55%,88%,,95%,96%,,92%,,,,,,92%
91%,86%,92%,95%,54%,,97%,,,95%,,83%,91%,,,91%,,91%,,,91%
93%,83%,93%,94%,75%,,100%,,,97%,80%,92%,93%,,93%,93%,,93%,,93%,93%
88%,98%,97%,98%,72%,,100%,67%,,91%,,97%,97%,,88%,88%,,88%,,88%,
96%,98%,92%,100%,100%,,,93%,86%,,53%,83%,97%,,96%,96%,83%,,,,96%
97%,88%,97%,89%,77%,,80%,,,,,88%,97%,,97%,97%,,97%,,97%,
90%,92%,77%,98%,50%,,80%,,,86%,,94%,98%,,90%,90%,83%,90%,,90%,90%
95%,94%,81%,96%,67%,,,,,,,73%,79%,,,95%,89%,95%,,95%,95%
87%,86%,94%,88%,91%,,,,,,,93%,98%,,87%,87%,,,,87%,87%
84%,97%,100%,96%,94%,,100%,100%,,,,91%,98%,,,84%,54%,85%,,84%,
96%,93%,94%,96%,68%,,100%,86%,,80%,,85%,99%,,,96%,,,,96%,96%
96%,86%,80%,95%,56%,,100%,97%,,,,79%,93%,,96%,96%,,,,96%,
90%,77%,97%,84%,89%,,98%,100%,,,,100%,76%,,90%,90%,,90%,,90%,90%
78%,100%,100%,100%,67%,,100%,94%,,95%,,89%,98%,,83%,,,79%,,78%,78%
98%,88%,97%,98%,86%,,100%,91%,,96%,,89%,97%,,98%,98%,,98%,,98%,98%
94%,94%,96%,96%,82%,,100%,95%,,92%,,91%,97%,,94%,94%,,94%,,94%,94%
95%,95%,94%,98%,72%,,,,87%,92%,80%,83%,98%,,,95%,,95%,,95%,95%
96%,87%,92%,92%,75%,,94%,,93%,94%,,84%,95%,,,,,96%,,96%,96%
90%,91%,93%,96%,73%,,80%,82%,100%,,,85%,97%,,,90%,,91%,,90%,
92%,94%,93%,97%,79%,,,91%,100%,,,85%,96%,,,92%,83%,,,92%,92%
94%,94%,100%,96%,67%,,,,73%,96%,,100%,100%,,,94%,70%,,,94%,94%
94%,81%,96%,95%,67%,,100%,,,89%,,93%,90%,,94%,94%,,95%,,94%,94%
92%,95%,96%,98%,57%,,100%,,85%,100%,100%,91%,96%,,92%,92%,43%,92%,,92%,92%
96%,84%,97%,95%,100%,,82%,95%,,93%,100%,96%,88%,,96%,96%,,96%,,96%,96%
89%,100%,96%,98%,66%,,93%,89%,92%,96%,100%,81%,100%,,,89%,,,,89%,89%
98%,90%,97%,97%,72%,,,93%,,,,85%,98%,,98%,98%,,98%,,98%,98%
93%,95%,100%,99%,62%,,,88%,83%,90%,81%,75%,98%,,,93%,,,,93%,93%
96%,89%,94%,97%,79%,,,83%,,87%,,90%,97%,,,,60%,96%,,96%,
94%,88%,91%,95%,69%,,,85%,,95%,,75%,93%,,,94%,60%,94%,,94%,
91%,84%,98%,92%,86%,,98%,73%,89%,72%,,92%,95%,,,91%,,,,,91%
87%,93%,77%,96%,57%,,100%,,88%,,,68%,96%,,87%,87%,,87%,,87%,87%
95%,71%,90%,78%,65%,,100%,100%,88%,94%,,67%,91%,,95%,95%,67%,95%,,95%,95%
74%,78%,96%,91%,82%,,,,84%,,80%,87%,91%,,76%,74%,100%,74%,,,74%
84%,93%,94%,96%,67%,,100%,96%,87%,93%,,100%,98%,,,84%,,84%,,,84%
94%,94%,89%,98%,72%,,,,80%,91%,,80%,91%,,,94%,100%,,,94%,94%
94%,88%,93%,91%,76%,,,95%,81%,87%,,91%,99%,,94%,94%,,,,94%,94%
89%,90%,91%,97%,64%,,,100%,83%,,,83%,92%,,91%,,,89%,,89%,89%
91%,83%,86%,92%,56%,,,,62%,88%,,86%,89%,,,91%,33%,92%,,,91%
87%,92%,89%,97%,82%,,,94%,,,,81%,92%,,87%,87%,,,,87%,87%
89%,87%,100%,90%,,,,89%,,96%,,92%,95%,,89%,89%,67%,,,89%,89%
88%,91%,96%,,24%,,,100%,,96%,100%,87%,96%,,,88%,,,,88%,88%
94%,94%,98%,98%,85%,,100%,100%,,91%,100%,93%,97%,,94%,94%,83%,94%,,94%,94%
95%,92%,94%,97%,78%,,,,,97%,,93%,96%,,,95%,40%,,,95%,95%
95%,89%,96%,97%,86%,,,,,97%,83%,89%,91%,,,95%,,,,95%,
92%,98%,95%,98%,79%,,,,,96%,,92%,98%,,,,,92%,,92%,92%
97%,92%,99%,97%,78%,,,,,92%,100%,96%,95%,,,97%,,97%,,97%,97%
93%,93%,88%,98%,62%,,100%,,,78%,,87%,96%,,93%,93%,,,,93%,93%
96%,89%,89%,91%,64%,,,86%,,94%,100%,81%,89%,,,96%,,96%,,,96%
88%,80%,98%,90%,71%,,,94%,86%,97%,100%,85%,93%,,,88%,,,,88%,85%
85%,89%,95%,99%,88%,,,,,0%,,86%,96%,,86%,85%,,85%,,,85%
93%,91%,,94%,,,100%,85%,89%,92%,,,96%,,,93%,50%,94%,,,93%
93%,,94%,,85%,,,100%,63%,88%,,89%,,,96%,93%,40%,,,,93%
0%,92%,87%,95%,52%,,,,,87%,,73%,96%,,,0%,,0%,,0%,0%
93%,75%,84%,84%,63%,,,,86%,,,84%,90%,,93%,,,94%,,93%,
81%,90%,100%,93%,,,,,,98%,,,90%,,85%,,,82%,,,81%
87%,100%,99%,,91%,,100%,,,100%,,92%,,,,,,87%,,87%,87%
100%,96%,100%,98%,100%,,,,,86%,,100%,99%,,100%,100%,,100%,,100%,100%
97%,97%,90%,98%,53%,,,92%,100%,98%,,81%,98%,,,97%,,,,97%,97%
99%,83%,100%,90%,80%,,,,85%,93%,,95%,92%,,99%,,100%,99%,,99%,99%
86%,97%,98%,100%,80%,,,,,90%,,90%,100%,,,86%,80%,,,,86%
98%,89%,92%,96%,58%,,100%,88%,81%,97%,,87%,98%,,98%,98%,,98%,,98%,98%
94%,78%,96%,90%,,,,,69%,84%,,100%,84%,,94%,94%,,94%,,94%,94%
85%,100%,87%,,77%,,,,,88%,,84%,97%,,85%,,83%,,,,85%
98%,82%,87%,87%,74%,,,87%,,84%,,80%,86%,,98%,98%,,,,98%,98%
85%,86%,82%,89%,72%,,,,,89%,,73%,96%,,,,,86%,,85%,85%
87%,84%,91%,86%,80%,,,,,92%,,79%,96%,,89%,87%,,88%,,88%,87%
83%,87%,99%,90%,71%,,,,,86%,,88%,95%,,83%,83%,,,,83%,83%
89%,87%,88%,97%,61%,,,,,,,77%,96%,,89%,89%,65%,89%,,89%,89%
93%,82%,92%,89%,80%,,,17%,,,,98%,92%,,,,71%,92%,,93%,93%
85%,94%,93%,96%,64%,,,84%,100%,87%,,86%,89%,,,85%,,86%,,85%,85%
93%,88%,91%,96%,67%,,,,,,,84%,92%,,93%,93%,,95%,,93%,93%
90%,83%,86%,92%,86%,,,83%,90%,,,100%,92%,,90%,90%,33%,90%,,90%,
88%,100%,100%,94%,,,,,,,88%,94%,85%,,88%,,,88%,,88%,
92%,94%,92%,,67%,,,84%,,,,93%,100%,,92%,92%,87%,,,92%,92%
97%,91%,87%,100%,67%,,,93%,,,,82%,88%,,97%,97%,,,,97%,97%
91%,76%,91%,87%,71%,,,,,,88%,92%,80%,,91%,91%,,91%,,91%,91%
81%,93%,92%,100%,83%,,100%,93%,,86%,,100%,92%,,81%,81%,71%,81%,,81%,81%
92%,100%,92%,100%,65%,,100%,100%,91%,88%,,66%,93%,,92%,92%,,,,92%,92%
95%,81%,94%,91%,73%,,90%,,89%,,,88%,93%,,95%,95%,,95%,,95%,95%
86%,86%,100%,96%,100%,,100%,100%,90%,,,100%,91%,,86%,86%,,,,86%,86%
90%,97%,100%,99%,71%,,,93%,89%,,,87%,98%,,90%,90%,,,,90%,90%
99%,85%,73%,100%,44%,,100%,94%,88%,100%,75%,79%,100%,,99%,99%,,99%,,99%,99%
92%,86%,100%,95%,100%,,,,86%,97%,,83%,80%,,92%,92%,,92%,,92%,92%
79%,100%,95%,100%,88%,,100%,,93%,95%,,89%,100%,,,79%,,,,79%,79%
100%,95%,96%,97%,85%,,100%,73%,50%,94%,,94%,98%,,100%,100%,,100%,,100%,100%
95%,92%,95%,96%,78%,,100%,,82%,96%,,97%,96%,,97%,95%,,,,95%,95%
94%,94%,99%,97%,89%,,94%,,86%,97%,,74%,94%,,95%,94%,,94%,,94%,94%
94%,95%,92%,98%,86%,,100%,,89%,86%,,83%,97%,,94%,,,94%,,94%,94%
97%,85%,96%,89%,67%,,100%,,,97%,,87%,96%,,,97%,,,,97%,97%
88%,78%,95%,89%,73%,,,,94%,98%,57%,91%,89%,,95%,,,,,88%,88%
86%,92%,99%,97%,88%,,100%,,100%,91%,,85%,96%,,86%,86%,,,,86%,86%
93%,95%,94%,99%,71%,,100%,,71%,81%,,86%,99%,,93%,93%,,,,93%,93%
97%,88%,91%,94%,76%,,,,77%,88%,,88%,96%,,97%,,,97%,,97%,97%
91%,83%,89%,90%,46%,,,63%,83%,95%,,82%,88%,,91%,,,,,91%,91%
87%,82%,99%,96%,83%,,,,87%,,,80%,81%,,,87%,,86%,,87%,87%
86%,91%,90%,98%,58%,,,75%,87%,97%,,,98%,,,86%,,,,86%,86%
95%,97%,97%,100%,83%,,100%,,94%,93%,83%,86%,98%,,,95%,,,,95%,95%
93%,97%,92%,100%,67%,,,,80%,97%,67%,81%,,,93%,93%,,93%,,93%,93%
97%,87%,97%,94%,85%,,100%,88%,82%,97%,,88%,94%,,97%,97%,,97%,,,97%
90%,95%,98%,98%,79%,,,,87%,94%,,86%,99%,,90%,90%,,90%,,90%,90%
96%,94%,93%,98%,72%,,,,90%,98%,100%,79%,99%,,97%,,,,,96%,96%
96%,86%,97%,92%,80%,,,,,98%,100%,82%,92%,,98%,96%,,,,96%,96%
89%,93%,95%,97%,88%,,95%,100%,89%,98%,,83%,98%,,93%,,,89%,,89%,89%
95%,89%,98%,93%,92%,,100%,100%,79%,98%,,87%,97%,,97%,95%,,,,95%,
92%,95%,98%,98%,86%,,,100%,87%,61%,,73%,99%,,96%,92%,,,,92%,92%
97%,91%,80%,96%,77%,,100%,100%,96%,90%,,81%,97%,,,97%,,,,97%,97%
94%,65%,93%,70%,50%,,94%,,87%,85%,100%,59%,67%,,97%,,,94%,,94%,94%
71%,81%,92%,93%,50%,,,100%,85%,,,80%,93%,,89%,,,74%,,71%,71%
87%,77%,91%,90%,,,,,89%,94%,,91%,98%,,87%,87%,,,,87%,87%
85%,80%,100%,,,,,98%,94%,,100%,81%,100%,,,85%,,,,85%,85%
86%,92%,87%,,53%,,96%,92%,98%,74%,,67%,100%,,86%,86%,,,,,86%
94%,84%,100%,91%,,,92%,,100%,,,83%,90%,,94%,94%,,,,94%,94%
85%,44%,100%,,57%,,94%,,100%,,,89%,80%,,85%,85%,,89%,,85%,
74%,84%,100%,100%,,,97%,,93%,,,92%,100%,,74%,74%,,74%,,,74%
91%,79%,96%,,70%,,,,95%,86%,,76%,95%,,91%,91%,,,,,91%
92%,91%,90%,98%,57%,,100%,,100%,90%,,88%,94%,,92%,92%,,92%,,92%,92%
93%,79%,100%,90%,,,,,80%,89%,,80%,96%,,93%,93%,,92%,,93%,93%
85%,86%,90%,,50%,,,100%,91%,,,62%,100%,,85%,,,85%,,85%,85%
90%,88%,83%,94%,56%,,,,93%,,,70%,98%,,90%,90%,,90%,,90%,90%
89%,80%,85%,88%,43%,,,,60%,97%,,94%,94%,,89%,,,91%,,,89%
81%,68%,100%,84%,80%,,,78%,,95%,,90%,88%,,81%,81%,,82%,,81%,81%
77%,93%,97%,100%,91%,,,,91%,86%,,76%,100%,,77%,77%,,,,,77%
97%,94%,89%,96%,64%,,,89%,83%,96%,,93%,96%,,97%,97%,,97%,,97%,97%
95%,79%,96%,90%,79%,,,,79%,94%,,76%,94%,,95%,95%,,,,95%,95%
83%,97%,96%,99%,74%,,,,85%,88%,,80%,97%,,83%,83%,,,,83%,83%
96%,91%,93%,96%,73%,,,91%,93%,,,72%,97%,,96%,96%,,96%,,96%,96%
94%,84%,89%,91%,42%,,,,80%,95%,100%,90%,98%,,94%,94%,,94%,,94%,94%
88%,85%,96%,96%,67%,,,86%,89%,90%,,79%,95%,,88%,88%,,88%,,88%,
87%,94%,95%,98%,67%,,,94%,,89%,,83%,98%,,87%,87%,,87%,,87%,87%
95%,85%,93%,93%,67%,,,,63%,96%,,88%,94%,,95%,95%,,95%,,95%,
90%,83%,94%,92%,67%,,,,77%,94%,,89%,91%,,,90%,,91%,,,
88%,96%,94%,97%,73%,,,78%,80%,,,52%,97%,,,88%,,89%,,,88%
95%,94%,94%,97%,60%,,,,86%,92%,,84%,96%,,95%,95%,,95%,,95%,
94%,77%,96%,89%,50%,,,,79%,98%,100%,95%,97%,,,94%,,94%,,,
84%,86%,96%,94%,100%,,,,,90%,,79%,94%,,,84%,,84%,,84%,84%
90%,100%,95%,98%,73%,,,94%,,96%,,87%,100%,,90%,90%,,,,90%,90%
98%,86%,95%,94%,71%,,,92%,,90%,100%,79%,95%,,98%,98%,,98%,,98%,98%
90%,94%,91%,97%,67%,,,94%,90%,94%,,86%,96%,,90%,90%,,,,90%,90%
95%,89%,95%,95%,60%,,,85%,83%,78%,,76%,93%,,,,,,,95%,95%
90%,90%,82%,97%,59%,,,,,,,100%,96%,,90%,,,90%,,90%,90%
93%,73%,100%,83%,,,,,,92%,,100%,81%,,93%,,,93%,,93%,93%
78%,100%,100%,,,,,,,,,92%,100%,,78%,,,78%,,78%,78%
100%,83%,93%,,83%,,,,,95%,,90%,86%,,100%,100%,,100%,,100%,100%
92%,92%,97%,95%,78%,,,,,,,89%,93%,,92%,92%,,92%,,92%,92%
93%,93%,84%,98%,63%,,,,,,,86%,98%,,93%,93%,,93%,,93%,93%
95%,97%,100%,94%,43%,,,,,92%,,88%,91%,,95%,,,,,95%,95%
90%,91%,97%,94%,100%,,,,,99%,,97%,100%,,90%,90%,,90%,,90%,90%
94%,85%,100%,98%,86%,,,,,,,84%,96%,,,94%,,94%,,,94%
91%,98%,90%,99%,83%,,,,,86%,,87%,100%,,91%,,,,,91%,91%
99%,93%,95%,92%,77%,,,,79%,89%,,95%,97%,,99%,99%,,,,99%,99%
91%,79%,93%,89%,78%,,,,96%,92%,,87%,89%,,91%,91%,,91%,,91%,91%
88%,88%,96%,95%,72%,,,,60%,,,95%,88%,,88%,,,,,88%,88%
91%,89%,90%,95%,71%,,,,96%,,,93%,96%,,91%,91%,,93%,,91%,91%
92%,94%,88%,97%,73%,,,,97%,92%,,84%,89%,,92%,,,,,92%,92%
92%,96%,90%,97%,86%,,,,85%,93%,,100%,92%,,92%,,,,,92%,92%
93%,91%,89%,94%,82%,,,,71%,,,98%,97%,,93%,,,,,93%,93%
90%,95%,93%,95%,73%,,,,91%,90%,,81%,89%,,90%,90%,,92%,,90%,90%
93%,97%,93%,98%,73%,,,,82%,,,100%,91%,,93%,93%,,93%,,93%,93%
95%,88%,97%,93%,76%,,,,,92%,,82%,95%,,95%,,,97%,,95%,95%
90%,91%,89%,99%,,,,,86%,,,100%,88%,,,,,90%,,90%,90%
94%,90%,100%,92%,,,,,100%,,,100%,93%,,94%,94%,,94%,,94%,94%
90%,100%,100%,,,,,,86%,93%,,91%,100%,,,90%,,,,90%,90%
100%,83%,95%,,,,,,,,,83%,88%,,100%,100%,,100%,,100%,100%
92%,90%,90%,,87%,,,,,,,92%,95%,,92%,92%,,92%,,92%,92%
93%,75%,97%,,100%,,,,,100%,,100%,84%,,93%,93%,,93%,,93%,93%
84%,94%,100%,97%,83%,,,,,95%,,91%,100%,,84%,84%,,84%,,84%,84%
95%,97%,95%,98%,86%,,,,,96%,,92%,98%,,95%,95%,,,,95%,95%
99%,90%,92%,95%,82%,,,,,94%,,90%,94%,,99%,99%,,99%,,99%,99%
93%,95%,97%,95%,81%,,,,,95%,,91%,95%,,94%,93%,,93%,,93%,93%
94%,90%,95%,96%,84%,,,,,94%,,90%,96%,,95%,,,94%,,94%,94%
93%,87%,96%,93%,71%,,,,93%,94%,,90%,93%,,96%,93%,,,,93%,93%
91%,85%,96%,91%,59%,,,,,,,62%,89%,,96%,91%,,92%,,91%,91%
89%,91%,77%,98%,81%,,,,,98%,,88%,96%,,94%,,,89%,,89%,89%
94%,53%,99%,64%,91%,,,,100%,97%,,97%,75%,,94%,,,94%,,94%,94%
63%,95%,95%,100%,87%,,,,,97%,,90%,99%,,79%,63%,,65%,,63%,63%
97%,91%,97%,93%,84%,,,,,96%,,,91%,,97%,97%,,,,97%,97%
93%,94%,100%,97%,84%,,,,,96%,,96%,98%,,96%,93%,,,,93%,93%
96%,92%,98%,99%,85%,,,,91%,97%,,100%,,,96%,,,96%,,96%,96%
96%,96%,98%,99%,92%,,,,100%,98%,,87%,97%,,,96%,,96%,,96%,96%
97%,98%,97%,100%,81%,,,,,97%,,94%,97%,,97%,,,97%,,97%,97%
98%,94%,95%,96%,81%,,,,,95%,,87%,99%,,98%,98%,,,,98%,98%
95%,91%,95%,94%,82%,,,,72%,96%,,89%,92%,,98%,95%,,96%,,95%,95%
93%,86%,93%,92%,80%,,,,75%,96%,,92%,94%,,95%,,,93%,,93%,93%
91%,91%,94%,93%,90%,,,,95%,98%,,92%,96%,,93%,91%,,91%,,91%,91%
92%,89%,98%,93%,61%,,,,97%,93%,,84%,90%,,95%,,,93%,,92%,92%
91%,95%,91%,98%,63%,,,,100%,93%,,83%,98%,,94%,91%,,91%,,,91%
96%,81%,93%,90%,91%,,,,89%,98%,,95%,88%,,97%,96%,,96%,,96%,96%
86%,81%,100%,89%,94%,,,,100%,100%,,92%,90%,,91%,,,86%,,86%,86%
86%,92%,98%,97%,94%,,,,89%,99%,,,96%,,93%,86%,,,,86%,86%
96%,99%,98%,99%,92%,,,,92%,99%,,91%,100%,,,96%,,,,96%,96%
98%,100%,93%,99%,89%,,,,100%,99%,,90%,,,,98%,,,,98%,98%
99%,95%,98%,94%,83%,,,,100%,96%,,81%,98%,,99%,99%,,99%,,99%,99%
94%,95%,95%,98%,86%,,,,100%,97%,,90%,98%,,98%,94%,,,,94%,94%
97%,95%,97%,99%,87%,,,,100%,98%,,90%,99%,,98%,97%,,,,97%,97%
95%,96%,99%,99%,85%,,,,89%,98%,,89%,98%,,96%,95%,,95%,,95%,95%
97%,95%,96%,99%,78%,,,,98%,99%,,90%,98%,,,97%,,,,97%,97%
97%,89%,96%,94%,94%,,,,,98%,,94%,98%,,98%,,,,,97%,97%
92%,89%,98%,94%,91%,,,,,96%,,91%,94%,,97%,92%,,93%,,92%,92%
92%,96%,97%,97%,91%,,,,96%,99%,,94%,98%,,94%,92%,,92%,,92%,92%
97%,96%,97%,97%,96%,,,,89%,99%,,94%,98%,,98%,97%,,,,97%,97%
96%,100%,100%,100%,74%,,,,100%,96%,,93%,99%,,,96%,,,,96%,96%
99%,98%,99%,99%,78%,,,,,96%,,93%,100%,,99%,99%,,,,99%,99%
99%,93%,96%,100%,88%,,,,25%,98%,,93%,96%,,,99%,,,,99%,
96%,96%,99%,99%,78%,,,,100%,88%,,84%,97%,,96%,96%,,,,96%,96%
96%,97%,88%,100%,81%,,,,100%,100%,,91%,99%,,,,,96%,,96%,96%
98%,76%,96%,82%,78%,,,,81%,96%,,80%,73%,,,98%,,,,98%,98%
82%,88%,97%,93%,71%,,,,100%,98%,,72%,94%,,91%,82%,,82%,,82%,82%
